system,185_baseball_problem,196_autoMpg_problem,22_handgeometry_problem,26_radon_seed_problem,30_personae_problem,31_urbansound_problem,313_spectrometer_problem,32_wikiqa_problem,38_sick_problem,4550_MiceProtein_problem,49_facebook_problem,59_umls_problem,6_70_com_amazon_problem,60_jester_problem,LL1_net_nomination_seed_problem,uu1_datasmash_problem,uu3_world_development_indicators_problem,uu4_SPECT_problem
aika,0.704873294,9.726554,search_failed,0.05838402,0.571428571,search_failed,0.34489282,search_failed,0.938344291,1,search_failed,search_failed,search_failed,search_failed,search_failed,search_failed,6.880440706,0.903703704
brown,0.699183857,7.973714754,0.645770304,0.571497905,search_aborted,search_aborted,0.45223268,post-search_failed,0.484268126,1,search_aborted,search_aborted,search_aborted,search_aborted,search_aborted,search_aborted,search_aborted,NA
columbiau_uchicago,search_failed,search_failed,search_failed,search_failed,test_failed,post-search_failed,search_failed,post-search_failed,post-search_failed,search_failed,search_failed,search_failed,search_failed,search_failed,search_failed,search_failed,search_failed,test_failed
cra_eve,test_failed,test_failed,test_failed,search_failed,post-search_failed,post-search_failed,NA,search_aborted,post-search_failed,search_timeout,search_failed,search_failed,search_failed,search_aborted,search_failed,search_aborted,search_failed,NA
featurelabs_mit_btb,0.699183857,6.562106055,5955.922977,0.054768758,0.588235294,post-search_failed,0.413160653,0.149648615,0.950675433,1,0.68294702,0.782927545,test_failed,search_failed,search_failed,1,5.546484556,0.914285714
isi,test_timeout,57.03260908,26.32722392,0.22857923,test_failed,0.03539823,0.22255435,test_failed,test_failed,test_failed,post-search_failed,post-search_failed,post-search_failed,post-search_failed,post-search_failed,search_timeout,1.606821015,search_timeout
nyu,0.316961362,test_failed,0.368384158,0.707407435,0.634146341,post-search_failed,post-search_failed,post-search_failed,0.502792469,1,search_failed,search_failed,search_failed,search_failed,search_failed,0.166666667,post-search_failed,post-search_failed
qntfy,0.699183857,9.051481062,search_aborted,0.372547475,search_aborted,search_aborted,0.405028402,search_aborted,0.957307061,1,search_aborted,search_aborted,search_aborted,search_aborted,search_aborted,search_aborted,search_aborted,test_failed
sri_tpot,post-search_failed,35.06202131,0.374428021,test_failed,0.6875,0.601769912,0.012777479,search_timeout,0.915198076,0.661682444,0.578642384,0.689938398,search_failed,4.696156798,0.4,search_timeout,test_failed,test_failed
texasam_tamu,0.685846071,8.367888655,0.366875179,334.0844853,0.235294118,0.657817109,0.26714478,0.098484848,0.843680501,1,0.606788079,0.697565268,0.615584691,4.784761803,0.3375,0.166666667,0.916320876,test_timeout
Baseline,0.691369767,7.370767716,0.727667543,1.153489069,0.5,0.303834808,0.190949527,0.059308072,0.849965827,1,0.5,0.498093282,0.659361843,6.031865969,0.85,0.331797235,16.1146785,0.818181818
Metric,F1 Macro,MSE,MSE,RMSE,F1,Accuracy,F1 Macro,F1,F1 Macro,F1 Macro,Accuracy,Accuracy,Normalized MI,Mean Abs Error,Accuracy,F1 Macro,RMSE,F1
